Symbol,Description,Assets under management,Assets under management - Currency,Asset class,Focus,Brand,Category,Country of registration,Niche,Region,Strategy,Leverage,Portfolio transparency,Selection criteria,Weighting scheme,Index provider,Currency hedged,Derivative holdings,Tax form,UCITS compliance,Fund flows 1 month,Fund flows 1 month - Currency,Net assets value,Net assets value - Currency
PBD,Invesco Global Clean Energy ETF,86358300,USD,Equity,Theme,Invesco,Sector,United States,Renewable energy,Global,Equal,Non-leveraged,Transparent,Market cap,Equal,WilderShares LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-4817600,USD,11.986,USD
MGNR,American Beacon Select Funds American Beacon GLG Natural Resources ETF,86267531.37,USD,Equity,Theme,American Beacon,Sector,United States,Natural resources,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,12946250,USD,30.88,USD
EMXF,iShares ESG Advanced MSCI EM ETF,86246160,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Emerging markets,ESG,Non-leveraged,Transparent,Principles-based,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,39.2022,USD
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,86230471.5,USD,Equity,Total market,AdvisorShares,Size and style,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,41.83082,USD
SPYT,Tidal Trust II Defiance S&P 500 Target Income ETF,85744150,USD,Equity,Large cap,Defiance,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,19860687.5,USD,19.9538,USD
SWP,SWP Growth & Income ETF,85660414,USD,Equity,Total market,SWP,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1821790,USD,26.0991,USD
THLV,THOR Equal Weight Low Volatility ETF,85508640,USD,Equity,Large cap,THOR,Size and style,United States,Broad-based,North America,Low volatility,Non-leveraged,Transparent,Volatility,Equal,Thor Analytics LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3202200,USD,28.52,USD
SLX,VanEck Steel ETF,85478677.5,USD,Equity,Materials,VanEck,Sector,United States,Steel producers,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,65.3304,USD
QMAG,First Trust Exchange-Traded Fund VIII FT Vest Nasdaq-100 Moderate Buffer ETF - August,85349742.148,USD,Equity,Large cap,FT Vest,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-4200950,USD,21.121,USD
BAMV,Brookstone Value Stock ETF,85343500,USD,Equity,Total market,Brookstone,Size and style,United States,Value,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-18498900,USD,32.23,USD
TOUS,"T. Rowe Price Exchange-Traded Funds, Inc. T. Rowe Price International Equity ETF",84680230.5,USD,Equity,Total market,T. Rowe Price,Size and style,United States,Broad-based,Developed markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,27.753566,USD
IVVM,BlackRock ETF Trust II iShares Large Cap Moderate Buffer ETF,84454971.32,USD,Equity,Large cap,iShares,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3748942.4400000004,USD,31.533612,USD
NFLY,Tidal ETF Trust II YieldMax NFLX Option Income Strategy ETF,84319200,USD,Equity,Communication services,YieldMax,Sector,United States,,North America,Buy-write,Non-leveraged,Transparent,Single asset,Single asset,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,21592457.5,USD,18.6475,USD
IFED,ETRACS IFED Invest with the Fed TR Index ETN,84265600,USD,Equity,Large cap,ETRACS,Size and style,United States,Broad-based,North America,Fundamental,Non-leveraged,Semi or non-transparent,Fundamental,Fundamental,indxx LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,42.0222,USD
DRN,Direxion Daily Real Estate Bull 3X Shares,83979200,USD,Equity,Real estate,Direxion,Sector,United States,Broad-based,North America,Vanilla,Leveraged 3x,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,-7714850,USD,11.335,USD
KEAT,Keating Active ETF,83405988,USD,Equity,Total market,Keating,Size and style,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,26.3432,USD
IQQQ,ProShares Nasdaq-100 High Income ETF,83336148,USD,Equity,Large cap,ProShares,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,NASDAQ,Unhedged,Holds,1099 (corporations),Non-compliant,16177692,USD,44.4356,USD
SQY,Tidal Trust II YieldMax SQ Option Income Strategy ETF,82988042.4810466,USD,Equity,Financials,YieldMax,Sector,United States,Transaction & payment processing services,North America,Buy-write,Non-leveraged,Transparent,Single asset,Single asset,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,27077204.520635642,USD,19.9141,USD
RFDA,RiverFront Dynamic US Dividend Advantage ETF,82935116.4,USD,Equity,Total market,RiverFront,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4393750,USD,57.86,USD
COMB,GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF,82782000,USD,Commodities,Broad market,GraniteShares,Broad market,United States,Extended term,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1990000,USD,20.37,USD
LCR,Leuthold Core ETF,82702610,USD,Asset allocation,Target outcome,Leuthold,Asset allocation,United States,Income & capital appreciation,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-3605600,USD,35.1003,USD
BSMV,Invesco BulletShares 2031 Municipal Bond ETF,82605921.181,USD,Fixed income,Investment grade,Invesco,"Government, local authority/municipal",United States,Intermediate,North America,Bullet maturity,Non-leveraged,Transparent,Maturity,Market value,Invesco Indexing LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2112000,USD,21.097,USD
ENZL,iShares MSCI New Zealand ETF,82412100,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Asia-Pacific,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,45.9677,USD
AVSE,Avantis Responsible Emerging Markets Equity ETF,82333675,USD,Equity,Total market,Avantis,Size and style,United States,Broad-based,Emerging markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,53.106,USD
TBF,ProShares Short 20+ Year Treasury,82309410,USD,Fixed income,Investment grade,ProShares,"Government, treasury",United States,Long-term,North America,Vanilla,Inverse,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,1291195,USD,24.1117,USD
BSMC,Brandes International ETF Brandes U.S. Small-Mid Cap Value ETF,82238000,USD,Equity,Extended market,Brandes,Size and style,United States,Value,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3192060,USD,31.434,USD
XHYI,BondBloxx USD High Yield Bond Industrial Sector ETF,82226750,USD,Fixed income,High yield,BondBloxx,"Corporate, broad-based",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,38.1585,USD
EQLCF,INVESCO S&P 500 EQUL WEIGHT IDX ETF USD UNITS,82176343.03236601,USD,Equity,Large cap,Invesco,Size and style,Canada,Broad-based,North America,Equal,Non-leveraged,Semi or non-transparent,Committee,Equal,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4491506.4533436,USD,27.6535403001,USD
PY,Principal Value ETF,82141124.0193,USD,Equity,Total market,Principal,Size and style,United States,Value,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4160864,USD,51.1551,USD
IMOM,Alpha Architect International Quantitative Momentum ETF,82085660,USD,Equity,Total market,Alpha Architect,Size and style,United States,Broad-based,Developed markets,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,28.1984,USD
ESN,Essential 40 Stock ETF,82018879.26,USD,Equity,Large cap,KKM Financial,Size and style,United States,Broad-based,North America,Equal,Non-leveraged,Semi or non-transparent,Committee,Equal,FSH Trading LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2168700,USD,15.33,USD
PSMJ,Pacer Swan SOS Moderate (July) ETF,81922110,USD,Equity,Large cap,Pacer,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,28.7226,USD
EEMX,SPDR MSCI Emerging Markets Fuel Reserves Free ETF,81872863.2,USD,Equity,Total market,SPDR,Size and style,United States,Broad-based,Emerging markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,33.928973,USD
XISE,FT Vest U.S. Equity Buffer & Premium Income ETF - September,81801960.594,USD,Equity,Large cap,FT Vest,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1775,USD,30.309,USD
SPTB,SPDR Series Trust SPDR Portfolio Treasury ETF,81763284.6,USD,Fixed income,Investment grade,SPDR,"Government, treasury",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3038871.4,USD,30.181984,USD
UMAR,Innovator U.S. Equity Ultra Buffer ETF - March,81661352.5,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-2680730,USD,35.8835,USD
EJUL,Innovator Emerging Markets Power Buffer ETF July,81432000,USD,Equity,Total market,Innovator,Size and style,United States,Broad-based,Emerging markets,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1241205,USD,24.7835,USD
FLEE,Franklin FTSE Europe ETF,81424000,USD,Equity,Total market,Franklin,Size and style,United States,Broad-based,Europe,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,28.96,USD
TECS,Direxion Technology Bear 3X Shares,80974756.52,USD,Equity,Information technology,Direxion,Sector,United States,Broad-based,North America,Vanilla,Inverse 3x,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,3320700,USD,44.713,USD
MID,American Century Mid Cap Growth Impact ETF,80816802,USD,Equity,Mid cap,American Century,Size and style,United States,Growth,North America,Active,Non-leveraged,Semi or non-transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1287884.5,USD,63.269,USD
FID,First Trust S&P International Dividend Aristocrats ETF,80601633.584,USD,Equity,High dividend yield,First Trust,High dividend yield,United States,Broad-based,Global Ex-U.S.,Dividends,Non-leveraged,Transparent,Dividends,Dividends,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,845400,USD,16.49,USD
EVX,VanEck Environmental Services ETF,80534608,USD,Equity,Theme,VanEck,Sector,United States,Environment,Global,Equal,Non-leveraged,Transparent,Proprietary,Tiered,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,181.3677,USD
ARB,AltShares Merger Arbitrage ETF,80523246.26,USD,Alternatives,Long/short,Altshares,Hedge fund strategies,United States,Merger arbitrage,Developed markets,Multi-factor,Non-leveraged,Transparent,Multi-factor,Multi-factor,Water Island Capital LLC,Hedged,Doesn't hold,1099 (corporations),Non-compliant,7787731.402951242,USD,27.73,USD
PPTY,U.S. Diversified Real Estate ETF,80496000,USD,Equity,Real estate,Vident,Sector,United States,Broad-based,North America,Fundamental,Non-leveraged,Transparent,Fundamental,Tiered,Vident Financial LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-8357000,USD,33.52,USD
RIGS,RiverFront Strategic Income Fund,80133500,USD,Fixed income,Broad credit,RiverFront,"Broad market, broad-based",United States,Broad maturities,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1725750,USD,23.01,USD
FCVT,First Trust SSI Strategic Convertible Securities ETF,80125576.31,USD,Fixed income,Broad credit,First Trust,"Corporate, convertible",United States,Broad maturities,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,38.053,USD
BETZ,Roundhill Sports Betting & iGaming ETF,79942045,USD,Equity,Consumer discretionary,Roundhill,Sector,United States,Casinos & gaming,Global,Fundamental,Non-leveraged,Transparent,Committee,Tiered,"Morningstar, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-3016755,USD,20.1986,USD
VANVF,VANECK UCITS ETFS PLC JP MORGAN EM LOC CCY BD UCITS A USD ACC,79889085,USD,Fixed income,Broad credit,VanEck,"Government, treasury",Ireland,Broad maturities,Emerging markets,Vanilla,Non-leveraged,Transparent,Market value,Market value,,Unhedged,Doesn't hold,1099 (corporations),Compliant,1765863.4,USD,59.018,USD
SSPY,Exchange Listed Funds Trust Stratified LargeCap Index ETF,79828617.9,USD,Equity,Large cap,Stratified,Size and style,United States,Broad-based,North America,Equal,Non-leveraged,Transparent,Committee,Tiered,Syntax Advisors LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,80.97,USD
PFI,Invesco Dorsey Wright Financial Momentum ETF,79802660,USD,Equity,Financials,Invesco,Sector,United States,Broad-based,North America,Momentum,Non-leveraged,Transparent,Momentum,Momentum,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4873180,USD,59.771,USD
BZWHF,BMO US HIGH DIVID COVERED CALL ETF,79777397.7,USD,Equity,High dividend yield,BMO,High dividend yield,Canada,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,1224590.7,USD,24.112356,USD
SAUG,FT Vest U.S. Small Cap Moderate Buffer ETF - August,79599348.242,USD,Equity,Small cap,FT Vest,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2415200,USD,24.069,USD
SPYC,Simplify Exchange Traded Funds Simplify US Equity PLUS Convexity ETF,79560039.78,USD,Equity,Large cap,Simplify,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,-3816925,USD,39.737,USD
LCLG,Advisors Series Trust Logan Capital Broad Innovative Growth ETF,79245260.336,USD,Equity,Large cap,Logan,Size and style,United States,Growth,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-4381,USD,55.5212,USD
MMLG,First Trust Multi-Manager Large Growth ETF,79092563.274,USD,Equity,Large cap,First Trust,Size and style,United States,Growth,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1528750,USD,31.528,USD
XBJA,Innovator ETFs Trust Innovator U.S. Equity Accelerated 9 Buffer ETF - January,79019050,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Buy-write,"Leveraged, variable",Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-1445930,USD,28.7456,USD
BUL,Pacer US Cash Cows Growth ETF,78904960,USD,Equity,Total market,Pacer,Size and style,United States,Growth,North America,Growth,Non-leveraged,Transparent,Multi-factor,Market cap,Index Design Group LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,7425240,USD,49.0758,USD
DXUV,Dimensional ETF Trust Dimensional US Vector Equity ETF,78819230.013,USD,Equity,Total market,Dimensional,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4142885.191,USD,54.99956331,USD
LOWV,"AB Active ETFs, Inc. AB US Low Volatility Equity ETF",78788498.634,USD,Equity,Total market,AB Funds,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2868540,USD,72.5439,USD
CGGE,Capital Group Global Equity ETF,78778097.6,USD,Equity,Total market,Capital Group,Size and style,United States,Broad-based,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,6314853.36,USD,26.307031,USD
FITE,SPDR S&P Kensho Future Security ETF,78727862.52,USD,Equity,Theme,SPDR,Sector,United States,Broad thematic,North America,Equal,Non-leveraged,Transparent,Market cap,Tiered,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2037907.24,USD,67.989044,USD
OILK,ProShares K-1 Free Crude Oil ETF,78594574.671,USD,Commodities,Crude oil,ProShares,Energy,United States,Laddered,Global,Laddered,Non-leveraged,Transparent,Single asset,Single asset,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-18303192.50000001,USD,43.9841,USD
RAFE,PIMCO RAFI ESG U.S. ETF,78540000,USD,Equity,Total market,PIMCO,Size and style,United States,Broad-based,North America,Fundamental,Non-leveraged,Transparent,Fundamental,Fundamental,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,16684000,USD,37.41,USD
EPU,iShares MSCI Peru and Global Exposure ETF,78483600,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Latin America,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-4357740,USD,42.9469,USD
SHOC,EA Series Trust Strive U.S. Semiconductor ETF,78357180,USD,Equity,Information technology,Strive,Sector,United States,Semiconductors,North America,Fundamental,Non-leveraged,Transparent,Fundamental,Fundamental,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,465707,USD,47.1034,USD
DEXC,Dimensional ETF Trust Dimensional Emerging Markets ex China Core Equity ETF,78263571.137,USD,Equity,Total market,Dimensional,Size and style,United States,Broad-based,,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,67015015.873,USD,50.45402465,USD
USAI,Pacer American Energy Independence ETF,78175500,USD,Equity,Energy,Pacer,Sector,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Market cap,Tiered,SL Advisors LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,8070500,USD,39.91,USD
FSZ,First Trust Switzerland AlphaDEX Fund,77956929.928,USD,Equity,Total market,First Trust,Size and style,United States,Broad-based,Europe,Multi-factor,Non-leveraged,Transparent,Multi-factor,Tiered,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,64.705,USD
SURI,Simplify Exchange Traded Funds Simplify Propel Opportunities ETF,77950907.361,USD,Asset allocation,Target outcome,Simplify,Asset allocation,United States,Capital appreciation,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,17.223,USD
ZOCT,Innovator Equity Defined Protection ETF - 1 Yr October,77914965,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Options collar,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1888800,USD,25.3477,USD
PEZ,Invesco Dorsey Wright Consumer Cyclicals Momentum ETF,77651280,USD,Equity,Consumer discretionary,Invesco,Sector,United States,Broad-based,North America,Momentum,Non-leveraged,Transparent,Momentum,Momentum,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2156790,USD,106.507,USD
FFTY,Innovator IBD 50 ETF,77441205,USD,Equity,Total market,Innovator,Size and style,United States,Broad-based,North America,Multi-factor,Non-leveraged,Transparent,Multi-factor,Tiered,"Investor's Business Daily, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,7565445,USD,30.6776,USD
BCUS,Exchange Listed Funds Trust Bancreek U.S. Large Cap ETF,77371000,USD,Equity,Large cap,Bancreek,Size and style,United States,Broad-based,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,258400,USD,31.82,USD
PSMD,Pacer Swan SOS Moderate (January) ETF,77191055,USD,Equity,Large cap,Pacer,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,8717670,USD,29.141,USD
FLJH,Franklin FTSE Japan Hedged ETF,77064000,USD,Equity,Total market,Franklin,Size and style,United States,Broad-based,Asia-Pacific,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,FTSE Group,Hedged,Holds,1099 (corporations),Non-compliant,0,USD,31.8,USD
NVD,GraniteShares 2x Short NVDA Daily ETF,77027433.2,USD,Equity,Information technology,GraniteShares,Sector,United States,Semiconductors,North America,Vanilla,Inverse 2x,Semi or non-transparent,Single asset,Single asset,,Unhedged,Holds,1099 (corporations),Non-compliant,-8580500,USD,33.05,USD
ZAUG,Innovator ETFs Trust Innovator Equity Defined Protection ETF - 1 Yr August,76820572.5,USD,Equity,Large cap,Innovator,Size and style,United States,Broad-based,North America,Options collar,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-3722800,USD,24.9897,USD
CRDT,Simplify Exchange Traded Funds Simplify Opportunistic Income ETF,76765475.169,USD,Fixed income,Broad credit,Simplify,"Broad market, broad-based",United States,Broad maturities,Developed markets,Active,Non-leveraged,Semi or non-transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,25.184,USD
EDC,Direxion Emerging Markets Bull 3X Shares,76661258.022,USD,Equity,Total market,Direxion,Size and style,United States,Broad-based,Emerging markets,Vanilla,Leveraged 3x,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Holds,1099 (corporations),Non-compliant,-139900,USD,32.237,USD
MSMR,McElhenny Sheffield Managed Risk ETF,76513500,USD,Asset allocation,Target outcome,McElhenny Sheffield,Asset allocation,United States,Capital appreciation,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1561000,USD,31.29,USD
GNOM,Global X Genomics & Biotechnology ETF,76400097.4803311,USD,Equity,Theme,Global X,Sector,United States,Genomic advancements,Global,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,Solactive AG,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-24213.793573888484,USD,10.27,USD
HRTS,"Tema GLP-1, Obesity & Cardiometabolic ETF",76268680,USD,Equity,Health care,Tema,Sector,United States,"Pharma, biotech & life sciences",Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,0,USD,30.3879,USD
DECZ,TrueShares Structured Outcome (December) ETF,76250623,USD,Equity,Large cap,TrueShares,Size and style,United States,Broad-based,North America,Buy-write,Non-leveraged,Transparent,Fixed,Fixed,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,11712149,USD,38.6883,USD
PMFXF,PIMCO ETFS PLC US LOW DURATION CORPORATE BOND UCITS ETF,76221208.8,USD,Fixed income,Investment grade,PIMCO,"Corporate, broad-based",Ireland,Short-term,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Compliant,0,USD,101.07,USD
XHS,SPDR S&P Health Care Services ETF,76215157.47,USD,Equity,Health care,SPDR,Sector,United States,Health care providers & services,North America,Equal,Non-leveraged,Transparent,Market cap,Equal,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-925713.16,USD,94.402366,USD
TARK,Tradr 2X Long Innovation ETF,75961449.9,USD,Equity,Total market,Tradr,Size and style,United States,Broad-based,Global,Active,Leveraged 2x,Transparent,Proprietary,Proprietary,,Unhedged,Holds,1099 (corporations),Non-compliant,-6646416.5,USD,51.7814,USD
FRTY,Alger Mid Cap 40 ETF,75563000,USD,Equity,Mid cap,Alger,Size and style,United States,Growth,North America,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,10858537.5,USD,19.887,USD
GSEU,Goldman Sachs ActiveBeta Europe Equity ETF,75537000,USD,Equity,Total market,Goldman Sachs,Size and style,United States,Broad-based,Europe,Multi-factor,Non-leveraged,Transparent,Multi-factor,Tiered,Goldman Sachs International,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,10524000,USD,35.83,USD
IMPPF,Invesco Markets II plc,75506835.768,USD,Fixed income,Broad credit,Invesco,"Corporate, preferred",Ireland,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,ICE Data Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,1706944.6469999999,USD,46.249,USD
HSUN,Hartford Strategic Income ETF,75279025,USD,Fixed income,Broad credit,Hartford,"Broad market, broad-based",United States,Broad maturities,Global,Active,Non-leveraged,Transparent,Proprietary,Proprietary,,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,12175275,USD,34.9536,USD
RXL,ProShares Ultra Health Care,75261175,USD,Equity,Health care,ProShares,Sector,United States,Broad-based,North America,Vanilla,Leveraged 2x,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,-4297319,USD,46.1766,USD
KEMX,KraneShares MSCI Emerging Markets ex China Index ETF,75191911.9054449,USD,Equity,Total market,KraneShares,Size and style,United States,Broad-based,,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-16656.490514923305,USD,30.12,USD
LABD,Direxion Daily S&P Biotech Bear 3X Shares,74919000.816,USD,Equity,Health care,Direxion,Sector,United States,Biotechnology,North America,Equal,Inverse 3x,Transparent,Market cap,Equal,S&P Dow Jones Indices LLC,Unhedged,Holds,1099 (corporations),Non-compliant,-38398350,USD,6.726,USD
EMSQF,ISHARES IV PLC,74743436.9792,USD,Equity,Total market,iShares,Size and style,Ireland,Broad-based,North America,Multi-factor,Non-leveraged,Transparent,Multi-factor,Multi-factor,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Compliant,0,USD,13.417,USD
